                                                                    VIRUS STRAIN	               CLADE
    A/environment/Hong_Kong/437-4/1999|Environment|AF216713|1999-XX-XX|Hong_Kong	                   0
                         A/chicken/Hubei/wl/1997|Avian|DQ997133|1997-XX-XX|China	                   0
                 A/Goose/Hong_Kong/w355/1997|Avian|AF098545|1997-XX-XX|Hong_Kong	                   0
                A/Goose/Hong_Kong/ww491/2000|Avian|AY059480|2000-XX-XX|Hong_Kong	                   0
                         A/chicken/Hubei/wh/1997|Avian|DQ997102|1997-XX-XX|China	                   0
                        A/goose/Guangdong/3/1997|Avian|AF364334|1997-XX-XX|China	                   0
                         A/chicken/Jilin/hk/2004|Avian|DQ997325|2004-XX-XX|China	                   0
                 A/Duck/Hong_Kong/ww487/2000|Avian|AY059479|2000-XX-XX|Hong_Kong	                   0
                        A/duck/Guangdong/40/2000|Avian|AY585374|2000-XX-XX|China	                   0
                 A/Duck/Hong_Kong/ww381/2000|Avian|AY059476|2000-XX-XX|Hong_Kong	                   0
                          A/duck/Guangxi/27/2003|Avian|EU263353|2003-XX-XX|China	                   0
              A/chicken/Hong_Kong/786-2/1997|Avian|GU052135|1997-XX-XX|Hong_Kong	                   0
                          A/duck/Shanghai/1/2000|Avian|AF501234|2000-XX-XX|China	                   0
                          A/Goose/Huadong/1/2000|Avian|DQ201829|2000-XX-XX|China	                   0
                         A/chicken/Jilin/ha/2003|Avian|DQ997268|2003-XX-XX|China	                   0
                A/goose/Hong_Kong/437-8/1999|Avian|GU052027|1999-XX-XX|Hong_Kong	                   0
                          A/chicken/zhoukou/2/02|Avian|DQ211924|2002-XX-XX|China	                   0
               A/Chicken/Hong_Kong/y385/1997|Avian|AF098541|1997-XX-XX|Hong_Kong	                   0
                A/goose/Hong_Kong/485.3/2000|Avian|GU052042|2000-XX-XX|Hong_Kong	                   0
              A/Chicken/Hong_Kong/317.5/2001|Avian|AY075027|2001-XX-XX|Hong_Kong	                   0
                           A/duck/Fujian/19/2000|Avian|AY585359|2000-XX-XX|China	                   0
                        A/duck/Guangdong/07/2000|Avian|AY585373|2000-XX-XX|China	                   0
                          A/duck/Guangxi/12/2003|Avian|EU263345|2003-XX-XX|China	                   0
                 A/Duck/Hong_Kong/ww461/2000|Avian|AY059478|2000-XX-XX|Hong_Kong	                   0
                           A/duck/Fujian/01/2002|Avian|AY585357|2002-XX-XX|China	                   0
               A/goose/Hong_Kong/1032.9/2000|Avian|GU052057|2000-XX-XX|Hong_Kong	                   0
    A/environment/Hong_Kong/437-6/1999|Environment|AF216721|1999-XX-XX|Hong_Kong	                   0
                          A/Hong_Kong/156/97|Human|AF028709|1997-XX-XX|Hong_Kong	                   0
              A/environment/Qinghai/1/2008|Environment|FJ455820|2008-06-12|China	                   0
                        A/goose/Guangdong/1/1996|Avian|AF148678|1996-XX-XX|China	                   0
    A/environment/Hong_Kong/437-8/1999|Environment|AF216729|1999-XX-XX|Hong_Kong	                   0
                     A/chicken/Shandong/K01/2004|Avian|DQ767725|2004-XX-XX|China	                   0
                         A/goose/Vietnam/3/05|Avian|DQ366314|2005-XX-XX|Viet_Nam	                   0
                        A/Hong_Kong/483/1997|Human|AF046097|1997-XX-XX|Hong_Kong	                   0
                       A/ostrich/Suzhou/097/2003|Avian|JF732739|2003-04-16|China	                   0
                 A/Goose/Hong_Kong/ww26/2000|Avian|AY059474|2000-XX-XX|Hong_Kong	                   0
                   A/Duck/Hong_Kong/p46/1997|Avian|AF098543|1997-XX-XX|Hong_Kong	                   0
                        A/duck/Guangdong/12/2000|Avian|AY585361|2000-XX-XX|China	                   0
                A/Chicken/Hong_Kong/220/1997|Avian|AF046080|1997-XX-XX|Hong_Kong	                   0
                  A/chicken/Hong_Kong/915/97|Avian|AF082036|1997-XX-XX|Hong_Kong	                   0
                         A/duck/Shanghai/37/2002|Avian|AY585369|2002-XX-XX|China	                   0
                       A/goose/Shantou/5456/2001|Avian|CY028935|2001-XX-XX|China	                   0
                         A/duck/Zhejiang/11/2000|Avian|AY585371|2000-XX-XX|China	                   0
      A/environment/Hong_Kong/156/1997|Environment|GU052127|1997-XX-XX|Hong_Kong	                   0
                 A/Goose/Hong_Kong/ww28/2000|Avian|AY059475|2000-XX-XX|Hong_Kong	                   0
                 A/Duck/Hong_Kong/ww382/2000|Avian|AY059477|2000-XX-XX|Hong_Kong	                   0
                A/chicken/Hong_Kong/915/1997|Avian|AF046100|1997-XX-XX|Hong_Kong	                   0
                          A/Hong_Kong/481/97|Human|AF046096|1997-XX-XX|Hong_Kong	                   0
                         A/duck/Shanghai/38/2001|Avian|AY585376|2001-XX-XX|China	                   0
                A/Chicken/Hong_Kong/786/1997|Avian|AF082035|1997-XX-XX|Hong_Kong	                   0
                            A/chicken/China/1/02|Avian|DQ023145|2002-XX-XX|China	                   0
               A/Chicken/Hong_Kong/y388/1997|Avian|AF098542|1997-XX-XX|Hong_Kong	                   0
                          A/chicken/Hebei/108/02|Avian|DQ343152|2002-XX-XX|China	                   0
                A/goose/Hong_Kong/437-6/1999|Avian|GU052019|1999-XX-XX|Hong_Kong	                   0
                   A/plateau_pika/Qinghai/04/2007|Pika|FJ390061|2007-04-19|China	                   0
                    A/chicken/Viet_Nam/9/2005|Avian|CY016859|2005-XX-XX|Viet_Nam	                   1
        A/chicken/Nakhon_Sawan/NIAH01502/2004|Avian|AB450559|2004-XX-XX|Thailand	                   1
                 A/chicken/Phichit/NIAH1/2006|Avian|EU919137|2006-XX-XX|Thailand	                   1
                 A/duck/Viet_Nam/TG24-01/2005|Avian|AM183677|2005-XX-XX|Viet_Nam	                   1
     A/leopard/Suphanburi/Thailand/Leo-1/04|Leopard|AY646175|2004-XX-XX|Thailand	                   1
                    A/Viet_Nam/JPHN30321/2005|Human|EF456802|2005-XX-XX|Viet_Nam	                   1
                A/duck/Viet_Nam/NCVDCDC9/2005|Avian|GU186656|2005-XX-XX|Viet_Nam	                   1
                A/egret/Hong_Kong/757.2/2002|Avian|GU052494|2002-XX-XX|Hong_Kong	                   1
        A/chicken/Sukhothai/NIAH6-3-0005/2005|Avian|FJ265568|2005-XX-XX|Thailand	                   1
A/chicken/Thailand/Kamphaengphet/NIAH6-3-0008/2005|Avian|FJ265574|2005-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD1421J/05|Avian|EF112274|2005-XX-XX|Thailand	                   1
                    A/pigeon/Thailand/1B/2004|Avian|GU052433|2004-XX-XX|Thailand	                   1
A/brown-headed_gull/Thailand/VSMU-28-SPK/2005|Avian|EF178528|2005-XX-XX|Thailand	                   1
                A/duck/Angthong/NIAH8246/2004|Avian|AB450563|2004-XX-XX|Thailand	                   1
    A/openbill_stork/Thailand/VSMU-6-BKK/2004|Avian|HM627929|2004-02-13|Thailand	                   1
          A/duck/Phetchabun/NIAH6-2-0040/2004|Avian|EF582394|2004-XX-XX|Thailand	                   1
                          A/Vietnam/1194/2004|Human|EF541402|2004-XX-XX|Viet_Nam	                   1
               A/chicken/Viet_Nam/TG-023/2004|Avian|DQ099758|2004-XX-XX|Viet_Nam	                   1
       A/brown-head_gull/Thailand/vsmu-4/2008|Avian|EU676325|2008-XX-XX|Thailand	                   1
               A/chicken/Viet_Nam/TN-025/2004|Avian|DQ099755|2004-XX-XX|Viet_Nam	                   1
                    A/duck/Cambodia/D2KC/2006|Avian|HQ200435|2006-02-21|Cambodia	                   1
                      A/quail/Vietnam/7B/2004|Avian|CY094847|2004-XX-XX|Viet_Nam	                   1
                    A/chicken/Viet_Nam/8/2005|Avian|CY016851|2005-XX-XX|Viet_Nam	                   1
                   A/pigeon/Thailand/KU-03/04|Avian|DQ236085|2004-XX-XX|Thailand	                   1
                        A/Vietnam/UT3028/2003|Human|HM114449|2003-12-28|Viet_Nam	                   1
      A/common_myna/Thailand/VSMU-10-BRM/2005|Avian|AB450572|2005-XX-XX|Thailand	                   1
                    A/chicken/Vietnam/18/2004|Avian|CY034198|2004-XX-XX|Viet_Nam	                   1
        A/chicken/Nakhon_Sawan/NIAH01503/2004|Avian|AB450560|2004-XX-XX|Thailand	                   1
                  A/duck/Ang_Thong/71(2)/2004|Avian|GU186648|2004-XX-XX|Thailand	                   1
                A/chicken/Vietnam/NCVD10/2005|Avian|EF566199|2005-01-24|Viet_Nam	                   1
       A/duck/Kamphaengphet/NIAH6-2-0043/2004|Avian|EF582397|2004-XX-XX|Thailand	                   1
       A/environment/Viet_Nam/1203/2004|Environment|GU052418|2004-XX-XX|Viet_Nam	                   1
           A/chicken/Bangkok/Thailand/CU-3/04|Avian|DQ083551|2004-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD4411M/05|Avian|EF112289|2005-XX-XX|Thailand	                   1
                   A/chicken/Vietnam/933/2004|Avian|CY036711|2004-XX-XX|Viet_Nam	                   1
                A/goose/Hong_Kong/739.2/2002|Avian|GU052457|2002-XX-XX|Hong_Kong	                   1
                      A/Vietnam/UT3028II/2003|Human|HM114457|2003-12-29|Viet_Nam	                   1
                        A/duck/Vietnam/1/2005|Avian|CY016827|2005-XX-XX|Viet_Nam	                   1
                        A/quail/Vietnam/36/04|Avian|AY818137|2004-XX-XX|Viet_Nam	                   1
           A/Duck/Vietnam/Soc_Trang_680G/2005|Avian|EU124171|2005-12-17|Viet_Nam	                   1
                   A/quail/Thailand/CU-331/06|Avian|EU616859|2006-XX-XX|Thailand	                   1
                   A/chicken/Vietnam/921/2004|Avian|CY036695|2004-XX-XX|Viet_Nam	                   1
                 A/duck/PhangNga/NIAH181/2004|Avian|AB450553|2004-XX-XX|Thailand	                   1
                  A/chicken/Vietnam/949B/2004|Avian|CY094807|2004-XX-XX|Viet_Nam	                   1
     A/tree_sparrow/Thailand/VSMU-14-KRI/2005|Avian|AB450576|2005-XX-XX|Thailand	                   1
            A/chicken/Thailand/ICRC-V143/2007|Avian|EU233416|2007-XX-XX|Thailand	                   1
                  A/Vietnam/HN30262IIIM3/2004|Human|HM114521|2004-08-04|Viet_Nam	                   1
                     A/duck/Vietnam/942B/2004|Avian|CY033177|2004-XX-XX|Viet_Nam	                   1
               A/duck/Thailand/ICRC-V629/2008|Avian|EU676307|2008-XX-XX|Thailand	                   1
A/chicken/Thailand/Kamphaengphet/NIAH6-3-0006/2005|Avian|FJ265573|2005-XX-XX|Thailand	                   1
           A/chicken/Nonthaburi/NIAH2879/2004|Avian|AB450555|2004-XX-XX|Thailand	                   1
                   A/duck/Hong_Kong/821/2002|Avian|AY676033|2002-XX-XX|Hong_Kong	                   1
                     A/Thailand/2(SP-33)/2004|Human|AY555153|2004-XX-XX|Thailand	                   1
     A/chicken/Thailand/Nontaburi/CK-162/2005|Avian|DQ334776|2005-XX-XX|Thailand	                   1
       A/chicken/Uthaithani/NIAH6-3-0007/2005|Avian|FJ265572|2005-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD4011M/05|Avian|EF112287|2005-XX-XX|Thailand	                   1
          A/duck/Uthaithani/NIAH6-3-0008/2005|Avian|FJ265570|2005-XX-XX|Thailand	                   1
                       A/Vietnam/UT30259/2004|Human|HM114513|2004-07-27|Viet_Nam	                   1
                   A/duck/Vietnam/NCVD06/2005|Avian|EF566197|2005-XX-XX|Viet_Nam	                   1
                    A/chicken/Viet_Nam/6/2005|Avian|CY016843|2005-XX-XX|Viet_Nam	                   1
                    A/chicken/Vietnam/24/2004|Avian|CY028716|2004-XX-XX|Viet_Nam	                   1
                     A/quail/Angthong/71/2004|Avian|AB440326|2004-XX-XX|Thailand	                   1
                      A/duck/Vietnam/367/2005|Avian|EF566215|2005-05-08|Viet_Nam	                   1
                         A/Viet_Nam/1203/2004|Human|EF541403|2004-XX-XX|Viet_Nam	                   1
                 A/chicken/Thailand/TS02/2006|Avian|JQ794454|2006-XX-XX|Thailand	                   1
                  A/pigeon/Thailand/TS01/2007|Avian|JQ794478|2007-XX-XX|Thailand	                   1
   A/Silver_Pheasant/Thailand/VSMU-1-CBI/2005|Avian|HQ025949|2005-XX-XX|Thailand	                   1
               A/duck/Viet_Nam/NCVDCDC14/2005|Avian|GU052441|2005-XX-XX|Viet_Nam	                   1
         A/Chicken/Vietnam/Binh_Duong477/2005|Avian|EU124169|2005-08-10|Viet_Nam	                   1
                          A/condor/Guangdong/139/2003||JQ966928|2003-01-23|China	                   1
                   A/chicken/Vietnam/TY9/2005|Avian|EU118134|2005-XX-XX|Viet_Nam	                   1
             A/crow/Bangkok/Thailand/CU-15/04|Avian|DQ083563|2004-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD3509M/05|Avian|EF112283|2005-XX-XX|Thailand	                   1
  A/chicken/Thailand/Kanchanaburi/CK-160/2005|Avian|DQ334760|2005-XX-XX|Thailand	                   1
  A/golden_pheasant/Thailand/VSMU-21-SPB/2005|Avian|EF178517|2005-XX-XX|Thailand	                   1
    A/openbill_stork/Thailand/VSMU-5-NSN/2004|Avian|HM627921|2004-02-05|Thailand	                   1
            A/chicken/Phichit/NIAH600674/2008|Avian|EU919138|2008-01-XX|Thailand	                   1
      A/open-billed_stork/Bangkok/LBD0511F/04|Avian|EF112272|2004-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBA2911M/05|Avian|EF112286|2005-XX-XX|Thailand	                   1
            A/pigeon/Thailand/VSMU-7-NPT/2004|Avian|AB576202|2004-XX-XX|Thailand	                   1
A/open-billed_stork/Nakhonsawan/BBD0404F/2004|Avian|DQ989969|2004-XX-XX|Thailand	                   1
  A/environment/Viet_Nam/NCVDCDC59/2005|Environment|GU186664|2005-XX-XX|Viet_Nam	                   1
                   A/chicken/Vietnam/G04/2004|Avian|EU118132|2004-XX-XX|Viet_Nam	                   1
                   A/chicken/Viet_Nam/11/2005|Avian|CY016875|2005-XX-XX|Viet_Nam	                   1
                     A/chicken/Vietnam/C58/04|Avian|AY818136|2004-XX-XX|Viet_Nam	                   1
       A/sparrow/Phang-Nga/Thailand/CU-203/04|Avian|DQ083584|2004-XX-XX|Thailand	                   1
      A/little_grebe/Thailand/Phichit-01/2004|Avian|AY553802|2004-XX-XX|Thailand	                   1
     A/tree_sparrow/Thailand/VSMU-12-KRI/2005|Avian|AB450575|2005-XX-XX|Thailand	                   1
            A/Duck/Vietnam/Hau_Giang680F/2005|Avian|EU124172|2005-12-17|Viet_Nam	                   1
          A/chicken/Samutprakan/NIAH6604/2004|Avian|AB450558|2004-XX-XX|Thailand	                   1
      A/great_barbet/Thailand/VSMU-2-CBI/2005|Avian|EF206697|2005-XX-XX|Thailand	                   1
           A/pigeon/Thailand/VSMU-11-KRI/2005|Avian|AB450573|2005-XX-XX|Thailand	                   1
   A/open-bill_stork/Thailand/VSMU-9-BKK/2004|Avian|AB450570|2004-XX-XX|Thailand	                   1
                 A/chicken/Malaysia/5744/2004|Avian|KC684446|2004-08-17|Malaysia	                   1
A/chicken/Thailand/Phitsanulok/NIAH6-3-0012/2005|Avian|FJ265571|2005-XX-XX|Thailand	                   1
                                 A/Hatay/2004|Avian|AJ867074|2004-XX-XX|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD2316F/05|Avian|EF112278|2005-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBA2811M/05|Avian|EF112285|2005-XX-XX|Thailand	                   1
          A/quail/Nakhon_Pathom/NIAH7562/2005|Avian|AB450566|2005-XX-XX|Thailand	                   1
           A/Duck/Vietnam/Dong_Thap_680A/2005|Avian|EU124134|2005-11-21|Viet_Nam	                   1
     A/green_peafowl/Thailand/VSMU-3-CBI/2005|Avian|EF206700|2005-XX-XX|Thailand	                   1
                    A/duck/Cambodia/D1KP/2006|Avian|HQ200593|2006-XX-XX|Cambodia	                   1
                     A/Thailand/1(KAN-1)/2004|Human|AY555150|2004-XX-XX|Thailand	                   1
                       A/Viet_Nam/JP4207/2005|Human|EF456798|2005-XX-XX|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD1821J/05|Avian|EF112277|2005-XX-XX|Thailand	                   1
                   A/duck/Vietnam/NCVD01/2005|Avian|EF566203|2005-XX-XX|Viet_Nam	                   1
                   A/duck/Vietnam/NCVD05/2005|Avian|EF566204|2005-XX-XX|Viet_Nam	                   1
                A/chicken/Vietnam/NCVD12/2005|Avian|EF566198|2005-XX-XX|Viet_Nam	                   1
                       A/Cambodia/408008/2005|Human|AB598119|2005-XX-XX|Cambodia	                   1
            A/chicken/Thailand/ICRC-7372/2010|Avian|HM590797|2010-03-24|Thailand	                   1
       A/chicken/Saraburi_Thailand/CU-17/2004|Avian|DQ083565|2004-XX-XX|Thailand	                   1
    A/chicken/Kamphaengphet/NIAH6-3-0011/2005|Avian|EF582401|2005-XX-XX|Thailand	                   1
                  A/tiger/Thailand/CU-T7/2004|Tiger|AY866475|2004-XX-XX|Thailand	                   1
                  A/chicken/Suphanburi/1/2004|Avian|AB440324|2004-XX-XX|Thailand	                   1
                     A/chicken/Vietnam/P22/05|Avian|AM183674|2005-XX-XX|Viet_Nam	                   1
 A/open-billed_stork/Suphanburi/TSD0912F/2004|Avian|DQ989979|2004-XX-XX|Thailand	                   1
                           A/Hanoi/30408/2005|Human|AB239125|2005-XX-XX|Viet_Nam	                   1
               A/crested_eagle/Belgium/01/2004|Avian|DQ182483|2004-XX-XX|Belgium	                   1
                         A/chicken/Laos/7192/2004|Avian|EF541414|2004-XX-XX|Laos	                   1
                      A/Vietnam/UT3040II/2004|Human|HM114490|2004-01-07|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD1721J/05|Avian|EF112276|2005-XX-XX|Thailand	                   1
               A/chicken/Kalasin/NIAH316/2004|Avian|AB450550|2004-XX-XX|Thailand	                   1
          A/dog/Thailand-Suphanburi/KU-08/04|Canine|DQ530173|2004-XX-XX|Thailand	                   1
                   A/chicken/Vietnam/830/2004|Avian|CY033169|2004-XX-XX|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD2416F/05|Avian|EF112279|2005-XX-XX|Thailand	                   1
               A/chicken/Thailand/NS-341/2008|Avian|EU850416|2008-XX-XX|Thailand	                   1
                   A/duck/Vietnam/NCVD04/2005|Avian|EF566201|2005-XX-XX|Viet_Nam	                   1
           A/chicken/Thailand/vsmu-3-BKK/2004|Avian|EF593102|2004-XX-XX|Thailand	                   1
             A/chicken/Thailand/ICRC-195/2007|Avian|EU497920|2007-XX-XX|Thailand	                   1
                   A/chicken/Vietnam/925/2004|Avian|CY036703|2004-XX-XX|Viet_Nam	                   1
           A/muscovy_duck/Vietnam/NCVD02/2005|Avian|EF566202|2005-XX-XX|Viet_Nam	                   1
                        A/cat/Thailand/KU-02/04|Cat|DQ236077|2004-XX-XX|Thailand	                   1
                        A/Vietnam/UT3062/2004|Human|HM114505|2004-01-16|Viet_Nam	                   1
                A/chicken/Vietnam/NCVD09/2005|Avian|EF566200|2005-01-18|Viet_Nam	                   1
                        A/Vietnam/UT3035/2003|Human|HM114473|2003-12-31|Viet_Nam	                   1
                    A/chicken/Vietnam/15/2004|Avian|CY029937|2004-XX-XX|Viet_Nam	                   1
                      A/duck/Viet_Nam/20/2005|Avian|CY016891|2005-XX-XX|Viet_Nam	                   1
               A/Thailand/Chaiyaphum/622/2004|Human|EF541417|2004-XX-XX|Thailand	                   1
                      A/duck/Vietnam/177/2005|Avian|CY034766|2005-XX-XX|Viet_Nam	                   1
                A/chicken/Vietnam/NCVD11/2005|Avian|CY036719|2005-XX-XX|Viet_Nam	                   1
A/open-billed_stork/Nakhonsawan/BBA3011M/2005|Avian|DQ990003|2005-XX-XX|Thailand	                   1
               A/chicken/Cambodia/047LC3/2005|Avian|HQ200590|2005-XX-XX|Cambodia	                   1
     A/chicken/Ratchaburi/Thailand/CU-68/2004|Avian|DQ083578|2004-XX-XX|Thailand	                   1
                      A/duck/Viet_Nam/19/2005|Avian|CY017187|2005-XX-XX|Viet_Nam	                   1
A/chicken/Thailand/Kamphaengphet/NIAH6-3-0010/2005|Avian|FJ265576|2005-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD3616M/05|Avian|EF112291|2005-XX-XX|Thailand	                   1
  A/open-bill_stork/Thailand/VSMU-29-NSN/2005|Avian|AB450579|2005-XX-XX|Thailand	                   1
A/open-billed_Stork/Thailand/VSMU-15-ATG/2005|Avian|EF206699|2005-XX-XX|Thailand	                   1
       A/sparrow/Thailand/Phitsanulok-01/2004|Avian|FJ265567|2004-XX-XX|Thailand	                   1
   A/openbill_stork/Thailand/VSMU-12-BKK/2003|Avian|HM627945|2003-12-30|Thailand	                   1
           A/chicken/Suphanburi/NIAH7540/2004|Avian|AB450561|2004-XX-XX|Thailand	                   1
           A/chicken/Angthong/NIAH101204/2007|Avian|EU919140|2007-XX-XX|Thailand	                   1
  A/environment/Thailand/ICRC-6670/2010|Environment|HM590781|2010-01-26|Thailand	                   1
                         A/Thailand/NBL1/2006|Human|GQ466176|2006-08-10|Thailand	                   1
  A/open-bill_stork/Thailand/VSMU-20-AYA/2004|Avian|AB450571|2004-XX-XX|Thailand	                   1
                      A/duck/Angthong/72/2004|Avian|AB440325|2004-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD1221J/05|Avian|EF112273|2005-XX-XX|Thailand	                   1
            A/Mynas/Ranong/Thailand/CU-209/04|Avian|DQ083585|2004-XX-XX|Thailand	                   1
               A/chicken/Thailand/PC-340/2008|Avian|EU620660|2008-XX-XX|Thailand	                   1
             A/chicken/Kohn_Kaen/NIAH330/2004|Avian|AB450552|2004-XX-XX|Thailand	                   1
             A/chicken/Thailand/ICRC-618/2008|Avian|EU547798|2008-XX-XX|Thailand	                   1
           A/Duck/Vietnam/Dong_Thap_680H/2005|Avian|EU124170|2005-12-17|Viet_Nam	                   1
     A/pigeon/Samut_Prakan/Thailand/CU-202/04|Avian|DQ083583|2004-XX-XX|Thailand	                   1
    A/openbill_stork/Thailand/VSMU-8-BKK/2004|Avian|HM627937|2004-02-12|Thailand	                   1
      A/chicken/Nakornsawan/NIAH6-3-0009/2005|Avian|FJ265569|2005-XX-XX|Thailand	                   1
  A/open-billed_stork/Nakhonsawan/BBD3516M/05|Avian|EF112290|2005-XX-XX|Thailand	                   1
               A/chicken/Viet_Nam/LD-080/2004|Avian|DQ099760|2004-XX-XX|Viet_Nam	                   1
                      A/duck/Viet_Nam/18/2005|Avian|CY017067|2005-XX-XX|Viet_Nam	                   1
                         A/Viet_Nam/1204/2004|Human|EF541404|2004-XX-XX|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD3309M/05|Avian|EF112282|2005-XX-XX|Thailand	                   1
                        A/Cambodia/JP52a/2005|Human|EF456805|2005-XX-XX|Cambodia	                   1
                   A/duck/Vietnam/NCVD08/2005|Avian|EF566195|2005-XX-XX|Viet_Nam	                   1
                   A/chicken/Vietnam/890/2004|Avian|CY034206|2004-XX-XX|Viet_Nam	                   1
    A/white_peafowl/Bangkok/Thailand/CU-16/04|Avian|DQ083564|2004-XX-XX|Thailand	                   1
                          A/Vietnam/1196/2004|Human|EU124176|2004-XX-XX|Viet_Nam	                   1
           A/chicken/Suphanburi/NIAH7618/2004|Avian|AB450562|2004-XX-XX|Thailand	                   1
           A/chicken/NaraThiwat/NIAH1703/2004|Avian|AB450556|2004-XX-XX|Thailand	                   1
                        A/Ck/Thailand/73/2004|Avian|DQ076201|2004-XX-XX|Thailand	                   1
           A/pigeon/Thailand/VSMU-13-KRI/2005|Avian|AB450574|2005-XX-XX|Thailand	                   1
       A/chicken/Nakhonsawan/NIAH6006587/2008|Avian|EU919139|2008-01-XX|Thailand	                   1
                           A/chicken/Laos/44/2004|Avian|EF541415|2004-XX-XX|Laos	                   1
      A/open-billed_stork/Bangkok/LBD0111F/04|Avian|EF112271|2004-XX-XX|Thailand	                   1
                    A/chicken/Viet_Nam/2/2005|Avian|CY016835|2005-XX-XX|Viet_Nam	                   1
  A/open-billed_stork/Nakhonsawan/BBD4211M/05|Avian|EF112288|2005-XX-XX|Thailand	                   1
                     A/chicken/Vietnam/P78/05|Avian|AM183673|2005-XX-XX|Viet_Nam	                   1
                     A/duck/Vietnam/5001/2005|Avian|EU118128|2005-XX-XX|Viet_Nam	                   1
          A/chicken/Sukhothai/NIAH114843/2008|Avian|FJ455874|2008-11-XX|Thailand	                   1
                    A/Thailand/4(SP-528)/2004|Human|AY626143|2004-XX-XX|Thailand	                   1
               A/chicken/Thailand/CU-354/2008|Avian|CY047457|2008-11-14|Thailand	                   1
                A/chicken/Suphanburi/137/2005|Avian|EF568922|2005-XX-XX|Thailand	                   1
              A/chicken/Kalasin/NIAH3776/2005|Avian|AB450567|2005-XX-XX|Thailand	                   1
                 A/duck/Viet_Nam/TG-007A/2004|Avian|DQ099756|2004-XX-XX|Viet_Nam	                   1
   A/quail/Thailand/Nakhon_Pathom/QA-161/2005|Avian|DQ334768|2005-XX-XX|Thailand	                   1
                        A/Vietnam/UT3040/2004|Human|HM114481|2004-01-06|Viet_Nam	                   1
                        A/Viet_Nam/JP178/2004|Human|EF456795|2004-08-XX|Viet_Nam	                   1
                     A/duck/Vietnam/5082/2005|Avian|EU118131|2005-XX-XX|Viet_Nam	                   1
